time,temperature_2m_max (Â°C)
2023-03-01,5.7
2023-03-02,6.3
2023-03-03,8.2
2023-03-04,11.0
2023-03-05,9.1
2023-03-06,11.5
2023-03-07,13.6
2023-03-08,16.0
2023-03-09,18.7
2023-03-10,17.1
2023-03-11,11.4
2023-03-12,9.9
2023-03-13,18.3
2023-03-14,20.9
2023-03-15,11.9
2023-03-16,10.0
2023-03-17,12.2
2023-03-18,16.7
2023-03-19,18.2
2023-03-20,14.4
2023-03-21,18.5
2023-03-22,20.9
2023-03-23,23.3
2023-03-24,22.3
2023-03-25,14.9
2023-03-26,17.5
2023-03-27,12.2
2023-03-28,11.2
2023-03-29,13.6
2023-03-30,17.7
2023-03-31,16.5
